"address","description","latitude","longitude","timestamp","year"
"UNKNOWN Austin, TX","AGG ASLT STRANGLE/SUFFOCATE   ",NA,NA,2014-02-08 12:00:00,2014
"COURT DR Austin, TX","THEFT                         ",NA,NA,2016-07-13 12:00:00,2016
"E 6TH ST Austin, TX","THEFT                         ",NA,NA,2016-01-30 12:00:00,2016
"BEN WHITE Austin, TX","AGG ASLT STRANGLE/SUFFOCATE   ",NA,NA,2015-10-18 12:00:00,2015
"LOYOLA LN Austin, TX","BURGLARY OF VEHICLE           ",NA,NA,2015-02-05 12:00:00,2015
"840 CR 377 Austin, TX","AGG ASLT STRANGLE/SUFFOCATE   ",NA,NA,2016-03-14 12:00:00,2016
"3154 HWY 71 Austin, TX","AGG ASSAULT                   ",NA,NA,2015-07-20 12:00:00,2015
"601 E 15 ST Austin, TX","THEFT                         ",NA,NA,2015-03-05 12:00:00,2015
"7707 S IH35 Austin, TX","AUTO THEFT                    ",NA,NA,2015-12-10 12:00:00,2015
"E RIVERSIDE Austin, TX","AGG ROBBERY/DEADLY WEAPON     ",NA,NA,2015-11-06 12:00:00,2015
"LAKE AUSTIN Austin, TX","BURGLARY OF RESIDENCE         ",NA,NA,2014-06-21 12:00:00,2014
"PARMER LANE Austin, TX","THEFT                         ",NA,NA,2015-06-11 12:00:00,2015
"TROTWOOD DR Austin, TX","AGG ROBBERY/DEADLY WEAPON     ",NA,NA,2015-08-10 12:00:00,2015
"1030 NORWOOD Austin, TX","THEFT BY SHOPLIFTING          ",NA,NA,2015-11-04 12:00:00,2015
"1306 LYNN ST Austin, TX","BURGLARY OF VEHICLE           ",NA,NA,2016-03-22 12:00:00,2016
"337 E 6TH ST Austin, TX","THEFT                         ",NA,NA,2016-05-09 12:00:00,2016
"5751 HARTSON Austin, TX","BURGLARY OF VEHICLE           ",NA,NA,2016-01-18 12:00:00,2016
"6512 MC NEIL Austin, TX","BURGLARY NON RESIDENCE        ",NA,NA,2016-03-21 12:00:00,2016
"7802 WYNN LN Austin, TX","ROBBERY BY ASSAULT            ",NA,NA,2014-09-28 12:00:00,2014
"8502 ROAN LN Austin, TX","BURGLARY OF VEHICLE           ",NA,NA,2016-09-21 12:00:00,2016
"10301 RR 2222 Austin, TX","AGG ASLT STRANGLE/SUFFOCATE   ",NA,NA,2014-10-18 12:00:00,2014
"120 W. 4TH ST Austin, TX","THEFT OF BICYCLE              ",NA,NA,2015-02-09 12:00:00,2015
"1200 ONEAL LN Austin, TX","THEFT OF METAL                ",NA,NA,2014-10-09 12:00:00,2014
"12901 N IH-35 Austin, TX","THEFT                         ",NA,NA,2016-03-10 12:00:00,2016
"16404 PARKWAY Austin, TX","BURGLARY OF VEHICLE           ",NA,NA,2016-05-29 12:00:00,2016
"1748 HOLEN RD Austin, TX","AUTO THEFT                    ",NA,NA,2014-04-09 12:00:00,2014
"1900 MCBEE ST Austin, TX","AUTO THEFT                    ",NA,NA,2015-12-27 12:00:00,2015
"609 HWY 183 S Austin, TX","AUTO THEFT                    ",NA,NA,2015-03-28 12:00:00,2015
"700 SABINE ST Austin, TX","THEFT                         ",NA,NA,2015-08-31 12:00:00,2015
